Job_Title,Location,Job_Highlight,JRJD,Company_Name
Business Planning - Consumer Insights Intern - 2023 Rookie Program (Jul - Dec),Kowloon Bay,"['MNC Exposure', 'Business Planning - Consumer Insights Internship', 'International working environment']","['Under Armour has one mission: to make you better. We have a commitment to innovation that lies at the heart of everything we do, not just for our athletes but also for our teammates. As a global organization, our teams around the world push boundaries and think beyond what is expected. Together our teammates are unified by our values and are grounded in our vision to inspire you with performance solutions you never knew you needed but can’t imagine living without.PURPOSE OF ROLEThe Consumer Insights Rookie will support the team in a wide variety of internally managed research projects (e.g. surveys, focus groups, ethnographies, mining databases) to provide findings and actionable insights within the APAC Region.YOUR IMPACTSupport APAC Strategy and Business Planning department in consumer insights development.Work closely with Consumer Insights on consumer studies, in order to derive concrete, actionable business recommendation, including but not limited to tracking studies like brand, loyalty and NPS surveys.Provide desktop research & project management to APAC/China related consumer insights projects. Help to build up APAC intelligence library on key market, consumer, product trends for our sportswear market.Facilitate information & data gathering, project coordination and management to ensure quality and on-time deliverables.QUALIFICATIONSUndergraduate / postgraduate, major in business, marketing, statistics, social science, psychology or other related backgroundAttention to details, comfortable with data. Familiar with advanced excel functions, software like Power BI, Qualtrics, SPSS would be advantageous.Curious, truly interested in consumer behavioral understanding.A self-starter who can work independently, proactive to reach out to different counterparts/team leaders to ask questions under matrix organization structureFluent in English and Chinese (verbal and written). A good understanding on China market and digital/social platforms is preferable.APPLICATION PROCESS:Internship period: Jul\xa02023 – Dec\xa02023, Part-time internship of 3-4 days per week during the semester.Hiring Process: 1. CV Submission, 2. Video Submission Request, 3. Interview with Recruiter 4. Interview with Hiring ManagerOffer timeline: End May\xa02023\xa0to early Jun\xa02023At Under Armour, we are committed to providing an environment of mutual respect where equal employment opportunities are available to all applicants and teammates without regard to race, color, religion, sex, pregnancy (including childbirth, lactation and related medical conditions), national origin, age, physical and mental disability, marital status, sexual orientation, gender identity, gender expression, genetic information (including characteristics and testing), military and veteran status, and any other characteristic protected by applicable law.\xa0 Under Armour believes that diversity and inclusion among our teammates is critical to our success as a global company, and we seek to recruit, develop and retain the most talented people from a diverse candidate pool.\xa0', 'Under Armour has one mission: to make you better. We have a commitment to innovation that lies at the heart of everything we do, not just for our athletes but also for our teammates. As a global organization, our teams around the world push boundaries and think beyond what is expected. Together our teammates are unified by our values and are grounded in our vision to inspire you with performance solutions you never knew you needed but can’t imagine living without.PURPOSE OF ROLE', 'The Consumer Insights Rookie will support the team in a wide variety of internally managed research projects (e.g. surveys, focus groups, ethnographies, mining databases) to provide findings and actionable insights within the APAC Region.YOUR IMPACT']",Under Armour Asia Limited
"Summer Intern, IT Security",Wan Chai,"['Summer Internship Program', 'Welcome to Undergraduate students', 'Create a fabulous summer together']","[""We would like to invite undergraduates who are passionate to develop their future careers in the financial services industry to participate in our Summer Internship Program.\xa0The purpose of our program is to provide students with an opportunity to gain hands-on work experience in the corporate environment.\xa0 If you believe you are capable, motivated, and deliver, we want you to join our AGBA family this Summer.Program Period: Jun – Aug 2023\xa0Responsibilities:Research and evaluate IT Security applications and services;Assist and coordinate in IT Security projects;Provide first level compliance monitoring and investigations;Support IT security operations and consulting activities, including but not limited to security incident response and handling, privileged access review, security inquiries, security requirements, and process clarifications;Assist in adhoc tasks as assigned.Requirements:Bachelor's degree in Computer Science, Computer Engineering or other relevant disciplines;Good analytical, communication and interpersonal skills;Self-motivated, eager to learn, responsible, able to work in a team;Strong passion and curiosity for IT security;Good command of written and spoken English, Cantonese and Mandarin.We offer competitive remuneration including career prospects to the right candidate. Interested parties please submit your application viaOur Talent PlatformEmail by clicking “Apply Now”The employee for above position will be employed under AGBA¹ Group Limited.(All applications will be treated in strict confidence and used for recruitment purpose by AGBA Group Limited and its affiliates only. All applicants are kept on file 6 months from the date of the application.)1.\xa0AGBA is a one-of-a-kind wealth and health platform, helping people enjoy wealth and health with the ease they deserve.AGBA Group (“AGBA” or “The Group”) is a Nasdaq-listed company (NASDAQ: AGBA), the Group’s activities span a business-to-business (B2B) platform, healthcare and wellness services, fintech businesses, as well as financial advisory services."", 'We would like to invite undergraduates who are passionate to develop their future careers in the financial services industry to participate in our Summer Internship Program.\xa0', 'The purpose of our program is to provide students with an opportunity to gain hands-on work experience in the corporate environment.\xa0 If you believe you are capable, motivated, and deliver, we want you to join our AGBA family this Summer.']",AGBA Group Limited
"[K Dollar Program] Manager, Data Analytics",Tsim Sha Tsui,"['Data analysis and insight capturing', 'Great team work environment', 'Experienced in membership program preferred']","['ResponsibilitiesDevelop a strong understanding of the key business issues and how customer data and analytics can be used to solve theseFormulate pragmatic strategy and approach to activate data and insights to achieve the commercial goals for K Dollar Program and its partnersLead analytics support for different business units of the New World ecosystem through a combination of self-service tools and ad hoc analysisBecome a trusted advisor on data quality governance to IT and Business teamsContinue to innovate and run PoCs to test, prove and scale new analytics methodologiesCapture, convey, and deliver data transformation and BI configuration requirementsLead and drive platform adoption with the business teams through training, best practice sharing, case studies and other initiativesEstablish consistent measurement approaches to quantify the impact of analytics led decision makingCapture feedback from Program partners on BI platform capabilities and performance as well as new requirements for the platformProvide ad-hoc analytical support to the Program to answer business questions outside the scope of Loyalty AnalyticsRequirements5-8 years of relevant experience in driving improved decision-making using analytics in a eCommerce, Retail or Consulting environmentDegree in a relevant subject or related field, e.g. analytics, mathematics, computer / data science, engineering, operations researchExperience of analytics tools from a leading provider (e.g. Tableau, Alteryx)Experience in data warehouse and ELT toolsPersuasive, clear oral and written communication skillsAble to influence and engage effectively with othersMachine Learning and Programming skills desirable (TensorFlow, Spark, SQL, Python)Experience dealing with very large data volumesHighly proficient in Microsoft suite including PowerPoint and advanced Excel skillsExperience in measurement approaches, data governance, and testingEye for detail and quality', 'Responsibilities', 'Responsibilities']",K11 Concepts Limited
Data Entry Clerk (Aviation Sector / Tsing Yi),Airport Area,"['Provide clerical support to warehousing operation', 'Ensure all inventory data are inputted accurately', 'Aviation sector exposure & good career prospect']","['Responsibilities:\xa0Provide clerical support to warehousing operation team such as data input, filing etc.Ensure all the inventory data\xa0are inputted accurately and within a reasonable timeframe\xa0\xa0Other ad-hoc duties as assignedRequirements:\xa0Diploma or above in logistics or related\xa0disciplines\xa0Detail minded, Teamwork oriented and good interpersonal skillImmediate available is highly preferred\xa0']",SF Supply Chain (Hong Kong) Limited
Full-time/Part-time Research Assistant I/II in the School of Nursing,Sai Ying Pun,"[""possess a Bachelor's degree or above"", 'at least 1 year’s relevant experience', 'work experience in community-based research proj.']","[""Full-time/Part-time Research Assistant I/II in the School of Nursing (Ref.: 520314) (to commence as soon as possible for one year, with the possibility of renewal subject to funding availability and satisfactory performance)Applicants should possess a Bachelor's degree or above, preferably in Nursing, Dietetics, Psychology, Social Sciences or other related disciplines with at least 1 year’s relevant experience. \xa0They should have an excellent command of written and spoken English and Chinese (including Cantonese); good interpersonal, project management and communication skills; and a strong sense of responsibility. \xa0They should also be highly motivated; and able to multi-task and coordinate research projects independently. \xa0Previous work experience in community-based research project would be highly desirable. \xa0Those with less experience or lower qualifications may be considered for appointment as Research Assistant II.The appointee will participate in community-based health promotion projects. \xa0He/She will assist in project management, participant recruitment, data collection and basic data analysis, preparation of reports and scientific publications; and perform other duties as assigned. \xa0Working outside normal office hours and on weekends may be required occasionally.A highly competitive salary commensurate with qualifications and experience will be offered, in addition to annual leave and medical benefits, if applicable.The University only accepts online application for the above post.\xa0 Applicants should apply online and upload an up-to-date C.V.\xa0 Review of applications will commence as soon as possible and continue until June 30, 2023, or until the post is filled, whichever is earlier.""]",The University of Hong Kong
Senior Manager / Manager (Data Platform),Shatin Area,"['Lead and manage the data team', 'Drive data strategy & analytics', 'Data management, analysis and visualization']","['We are seeking a highly motivated and experienced Data Lead to join our team. The Data Lead will be responsible for managing the data team and driving data strategy and analytics to support business decisions. The ideal candidate will have experience in data management, analysis, and visualization, as well as a strong background in leading and managing teams.Responsibilities:Lead and manage the data team to ensure high-quality data collection, analysis, and reportingDevelop and implement data related projects and analytics to support business decisionsWork closely with cross-functional teams to identify data needs and provide insights to drive business growthDevelop and maintain data warehouse and data governance policiesEnsure compliance with data privacy and security regulationsJob requirements:Bachelor\'s or Master degree in Computer Science, Statistics, Mathematics, or a related fieldMinimum 8 years of experience in data management, analysis and visualization, with at least\xa03 years of experience in leading and managing teamsExcellent communication and presentation skillsExperience in implementation data warehouse in cloud-based data warehouse.Experience with data visualization tools such as Power BI, QlikView or TableauFamiliarity with SQL and programming languages such as Python, R, or JavaKnowledge of data privacy and security regulationsStrong analytical and problem-solving skillsCandidates with less experience will be considered as junior position.Interested parties please send full resume with\xa0PRESENT & EXPECTED SALARY\xa0to Human Resources Department via ""APPLY NOW""\xa0We are an EQUAL OPPORTUNITIES EMPLOYER.All information received will be kept in strict confidence and be used for employment-related purpose only.', 'We are seeking a highly motivated and experienced Data Lead to join our team. The Data Lead will be responsible for managing the data team and driving data strategy and analytics to support business decisions. The ideal candidate will have experience in data management, analysis, and visualization, as well as a strong background in leading and managing teams.', 'Responsibilities:']",Café de Coral Group Limited
Business System Analyst - Retail Luxury Brand - Dynamics 365 - APAC Migration,Quarry Bay,"['Business System Analyst/System Analyst', 'Multiple Dynamics 365 Migrations', 'Cloud Migration O365']","[""One of the world's largest luxury retail brands is ramping up their APAC Regional IT Team in Hong Kong and running multiple transformation initiatives, for which they are looking to bring in talented Business System Analysts/System Analysts.\xa0Project and Role:Currently, there are multiple digital and internal user projects at regional-scale for their APAC markets, including a large scale revamp of their internal Finance Operations systems, Supply Chain and Retail systems across the whole APAC market.\xa0 This will be working as a bridge between the IT and Finance/Business teams, this project will initially be identifying the needs and gaps for these projects.\xa0 Further you will be working on the design with the IT teams to efficiently implement these systems.\xa0 Further you will be helping on the data migration to the O365 cloud migration.\xa0 This is a key project within this Luxury Brand and they are looking for passionate and experienced individuals to join this team.\xa0\xa0This person will also be involved in doing vendor management and working with senior management stakeholders across business and IT for APAC and Global.Requirements:5+ years experience in business analysis/system analyst\xa0Experience working on IT based projects\xa0Experience in retail/e-commerce/FMCG domainExperience working with different stakeholders and having assertive personalityExperience working on Dynamics 365/CRM/Finance Systems\xa0Excellent communication skills in English""]",TEKsystems
Senior DataOps Engineer,Sham Shui Po,"['Information Technology', 'At least 5-year experience', 'Data engineering technology']","[""CLP has embarked on a journey to becoming a “Utility of the Future” which is customer-centric, agile and digitally-enabled. The company is launching strategic transformation initiatives across the business in which next generation technologies will play a pivotal role.We are looking for passionate professionals to join the IT Business Enablement within the Information Technology of CLP Power Hong Kong Limited. The successful applicant will be responsible for the following duties.Technical ResponsibilitiesLead the design and development of CLP data engineering technology for small-medium projects and ensure the design and development is in line with the overall data engineering standards and frameworksBuild end-to-end data pipelines including data collection, transformation, quality and integration solutions to facilitate CLP’s data & analytics solutionsEngage with data stewards, producers and consumers to design appropriate data pipelines within their assigned projectsCollaborate with solution design and business requirements teams to identify data requirements and assemble large, complex data sets that meet the requirementsManagement ResponsibilitiesConduct user requirement studies (liaising with IT Business Partnering team), system analysis and design, contract negotiation with IT vendor(s) etc.Collaborate with vendors and service providers for solution planning, service delivery and technical support activitiesCollaborate with solution design and business requirement team to identify the suiting data and analytics solutions as well as assembling large, complex data sets that meet the requirementMust-havesDemonstrable commitment to continuous learningProactive, performance driven and results orientedEnthusiastic about machine learning and technologies, eager to learn and strive for the bestGood at Vendor management, Relationship management, Change management skillsExcellent Communication, Leadership, Problem solving and analytical skillsHighly regardedFluency in Pythonprocessing large and complex datasets and building end-to-end data pipelines using on-premise or cloud-based data platformsProficiency in at least one of the SQL scripting languages and relational databases (e.g. SQL DB/DW)Experience in Enterprise data platform development, orchestration, deployment, monitoringExperience in continuous integration and continuous delivery (CI/CD) practisesExperience in software version control and lifecycle managementExperience in cloud computing platform like Azure, Alibaba Cloud or AWSExperience in container technologies like Docker and KubernetesQualificationsBachelor's degree in Information Technology, Computer Science, Engineering, or other quantitative or related disciplines. Master’s degree in a related field is desirableProfessional certifications in cloud platforms (Azure, AWS or AliCloud), or relevant industry certifications are highly regarded.What we offerOn the job training, coaching and mentorshipA modern, greenfield and cloud-based architectureContinuous improvement and best practicesAbility to work on complex and large strategic projectsSupervisory experience from day onePlease apply by clicking the button “Apply Now” below for application on or before\xa015 May 2023.Applicants not invited for interview within 6 weeks from the closing date may assume their applications unsuccessful.Information provided will be for recruitment purpose within the CLP Group and only short-listed candidates will be contacted. We comply with all applicable laws and regulations of HKSAR in handling applications. For details of the Personal Information Collection Statement, please visit our website:\xa0https://clp.to/engPICSFor further information on our company, please visit our website:https://www.clpgroup.com/"", 'CLP has embarked on a journey to becoming a “Utility of the Future” which is customer-centric, agile and digitally-enabled. The company is launching strategic transformation initiatives across the business in which next generation technologies will play a pivotal role.', 'We are looking for passionate professionals to join the IT Business Enablement within the Information Technology of CLP Power Hong Kong Limited. The successful applicant will be responsible for the following duties.']",CLP Power Hong Kong Limited
Data Lake Testing Manager - Data Tech Programme,Without_location,"['Data Lake ETL Testing', 'Large Enterprise Environment', 'Perm Position']","[""This is an exciting opportunity for a Testing Manager who is interested in Data Testing to join a large enterprise with a large Data Tech Programme. You will be leading the technology team in driving the testing functions and delivery. You will be working with some of the exciting technology platforms.Requirements:Lead testing of the performance, and security to ensure a highly resilient system is being built.Lead the design, development, and deploy testing scripts.Lead the coordination and analysis of Test Environment Setup to fit for Data Testing.Lead the execution of test scripts and cases.Document test results and provide test reportsEvaluate software testing results and provide test reports. Give recommendations to the development team.Responsibilities:Around 8 years of experience in software testing, writing test plans and test cases.Solid experience in testing Data Lake, Data Warehouse, and ETL applications.Working experience in applying/operating Test Automation and Continue Testing under CI/CD process.Skills in developing automation test scripts for Data Warehouse applications are a great plus.Experience with Agile, Scrum, and/or Lean principles and practices.Have knowledge of Software Development Life Cycle, QA process, methodologies, and best practices.Good communication skills in English, and Chinese (Mandarin / Cantonese).Bachelor's degree in IT or related majors.If this outstanding opportunity sounds like your next career move, please send your resume in Word format to Danny Kwan at resume(at)pinpointasia(dot)com and put Data Lake Testing Manager - Data Tech Programme in the subject header.Data provided is for recruitment purposes only."", 'This is an exciting opportunity for a Testing Manager who is interested in Data Testing to join a large enterprise with a large Data Tech Programme. You will be leading the technology team in driving the testing functions and delivery. You will be working with some of the exciting technology platforms.', 'Requirements:']",Pinpoint Asia Limited
Assistant Vice President - Data Centre and Vendor Management - Technology Operations - IT (R000836),Without_location,"['Marketplace of the Future', 'World’s leading IPO market', 'Inclusive and diverse culture']","[""Job Summary:We are looking for a strong talent with in depth procurement knowledge and experience to join our Technology Operations Team. The role will lead the team of vendor management to perform the procurement and vendor manage activities effectively and complying the policy and procedure.Job Duties:ResponsibilitiesDefine and implement sourcing, procurement strategies to IT infrastructure and operationsCoordinate with internal stakeholders and engaged with suppliers to perform the procurement and come up with the tender, RFP and RFQ documents which aligns with procurement workflow, and to negotiate pricing, terms and conditions of contracts and agreements while ensuring compliance with all applicable laws and regulations.Conduct contract renewal, new procurement, vendor performance management, vendor relationship management and vendor risk management complying the best industrial practice and complying to company policy and proceduresMaintain and comply vendor management process and workflow; introduce the best practice and o-going improvement the workflow in more effective waysDraft up relevant procurement documents based on input from technical or product ownerWork with technical or product owner to determine vendor or resellers, procurement approach (RFQ, RFP, tender), and evaluation criteria.Evaluate bids and proposals for compliance with specifications, purchase descriptions; analyze submitted bids, as well as past bids and awards to determine the responsiveness and responsibility of the bidder. Prepare evaluation report and assist the team to conduct evaluationExplore any opportunities to maximum benefits to Corporation such as global contract, enterprise agreementPrepare cover memo, evaluation report and related documents in order to get expense approval from management.Work with Product Owner or Project Team and Finance team to sign off purchases correctly and expenses are booked correctly.Manage the Third Party Risk Management process including conduct the risk assessment together with technical teams in order to determine the supplier & service criticality; work with suppliers to collect relevant questionnaires; conduct and complete related due diligence tasks (e.g. Business Continuity, US Sanctions, Sub-contractor, Financial Review); work with technical teams to complete related due diligence tasks (e.g. Cyber Technology review, Exit Plan)Manage and maintain vendor management database including record filing & indexed, managing contract renewals and expirations. Analyze data and generate reports presenting to senior managementTrack vendor performance, identify any vendor risks and record data into reports.Manage work assignments and address any concerns/requests by deadlines.Assist to develop, implement and maintain policies and procedures to ensure adequate vendor oversight.Create documents, ensuring appropriate template are used and all required agreements are in place, follow up and manage the workflows/creation of documents, escalate when necessary to meet deadlines.Manage the teammates to fulfill the process and assigned tasksManage a team of vendor management and provide leadership, coaching, developmentDrive the process improvement and improve efficiencyRequirementsUniversity degree in IT, Procurement or similar disciplines.At least 8 years' relevant experience of which at least 2 years of people management experience with direct reports as their performance managerAbility to manage the team to conduct the works effectively and to improve the processKnowledge on using the e-tools on procurement and/ or risk managementProcurement and Category management experienceKnowledge of common contracting procedures, methods and contracting types.Ability to evaluate bid response; and basic knowledge of purchasing arrangements, procedures and practices.Experiences with Third Party Risk Management.Organized, attentive to details and multi-tasking.Proficiency in Microsoft Office including Word, Excel, Outlook and PowerPoint.Strong analytical, problem solving, interpersonal, communication skills and presentation skills to management.Good command of both written and spoken English and Chinese. Proficiency in Mandarin is an advantageAbility to work effectively in a team environment and collaborate well with different parties/stakeholdersAbility to follow process and standard procedures"", 'Job Summary:', 'We are looking for a strong talent with in depth procurement knowledge and experience to join our Technology Operations Team. The role will lead the team of vendor management to perform the procurement and vendor manage activities effectively and complying the policy and procedure.']",Hong Kong Exchanges & Clearing Ltd
Data Analyst - Global Logistics Firm,Without_location,"['Globalized and Reputable Business', 'Flexibility to Work From Home', 'VBA, SQL, Python, Tableau, PowerBI']","[""Our client is a globalized delivery services provider with a fast-growing business in the APAC region. They are now looking for a Data Analyst to join the team. The successful candidate will be responsible for analyzing and managing the company's business data.Client DetailsOur client is a globalized delivery services provider with a fast-growing business in the APAC region. They have established a good reputation in the industry by providing quality distribution solutions to e-commerce companies. In the coming years, they will continue with their business growth strategy to capitalize the growing trend of online shopping.They are now looking for a Data Analyst to join the team. The successful candidate will be responsible for analyzing and managing the company's business data. The person will also need to generate insights and provide suggestions to the management in formulating business strategies.DescriptionAnalyze and manage the in-house business data to provide reporting on the business performanceIdentify areas for improvement and suggest solutions to relevant business teams.Build data analytic models to generate business insight and identify business opportunityProvide data visualization solutions with the use of business intelligence tools such as Power BIUtilize automated tools to create routinized reports for the businessProfileBachelor degree in Computer Science, Statistics, Business disciplinesPreferably 2 years of working experience in Data AnalysisSolid skills in VBA and SQL are essentialExperience in using Python, Tableau, Power BI for data visualization would be a plusCapable of transform data into business insights and actionable recommendations.Proficient in English and Chinese, both written and spokenJob OfferPermanent In-house Position in Data AnalysisMNC Environment, Open and Friendly TeammatesWork From Home Arrangements AvailableFlexible Working HoursCompetitive Salary & Staff BenefitsMedical CoverageTo apply online please click the 'Apply' button below. For a confidential discussion about this role please contact Sedrick Chan on +852 3602 2492.""]",Page Personnel
"Officer, Business and Big Data Management (E-Banking)",Kwun Tong,"['Prepare reports', 'Review policy and procedures', 'UAT']","['Responsibilities:Perform regular risk management reports on e-banking services and digital marketReview policies and procedures to comply with regulations constantlyParticipate in assignments related to compliance & risk issues and follow up departmental audit findingGather requirements from various parties to develop risk management and compliance projects of e-banking channelConduct UAT and support new function implementation and service launchData collection and reports, data analytics and coordinating data related projectAd hoc assignments as requiredRequirements:\xa0University graduate with major in Business Administration, Economic, Risk Management or related disciplinesMinimum 3 years of relevant working experience in e-banking project or product developmentBasic knowledge of e-banking regulations and Code of Banking Practice are preferredStrong problem solving skills, self-motivated and able to work under pressureGood command of spoken and written English and Chinese', 'Perform regular risk management reports on e-banking services and digital market', 'Review policies and procedures to comply with regulations constantly']",Industrial and Commercial Bank of China (Asia) Limited
Sourcing Intern - 2023 Rookie Program (Jul - Dec),Kowloon Bay,"['MNC Exposure', 'Sourcing Internship', 'International working environment']","['Under Armour has one mission: to make you better. We have a commitment to innovation that lies at the heart of everything we do, not just for our athletes but also for our teammates. As a global organization, our teams around the world push boundaries and think beyond what is expected. Together our teammates are unified by our values and are grounded in our vision to inspire you with performance solutions you never knew you needed but can’t imagine living without.PURPOSE OF ROLEThe ideal Sourcing Intern should be able to assist with various technology-related tasks. He/She should be tech-savvy, detail-oriented, eager to learn UA Sourcing processes and try to bring in tech/AI-based innovative ideas. This internship is a great opportunity for someone who is passionate about technology and wants to gain hands-on experience in a fast-paced and dynamic environment. He/She will get to work with the leadership team of all product categories – Apparel, Footwear and Accessories, Sourcing, Design and Development team members. The candidate will be part of the Sourcing team that is open to embracing new ideas, innovation and thus there is no limit to showcasing his/her abilities and in turn directly contributing to the bottom line of the organization.YOUR IMPACTUnderstand Under Armour sourcing processes.Perform research on new technologies such as Robotic Process Automation, Artificial Intelligence and make recommendations for adoptions in Sourcing processes.Collaborate with team members to design and implement these technology solutions along with creating Excel macros, data analytics, dashboards etc.,Participate in the meetings and provide inputs on tech-related topics and feasibility.Assist the team in macro and micro factor research.QUALIFICATIONSCurrently enrolled in a technology-related undergraduate degree.Knowledge of programming languages such as Java, Python etc., and familiarity with software development tools such as Git and Jira.Advanced Excel, PowerPoint, and Power BI/Tableau capabilities.Strong problem-solving skills and attention to detail.Excellent verbal and written communication skills.Ability to work independently and as a part of a team.APPLICATION PROCESS:Internship period: Jul\xa02023 – Dec\xa02023, Part-time internship of minimum 2 days per week during the semester.Hiring Process: 1. CV Submission, 2. Interview with Recruiter 3. Interview with Hiring ManagerOffer timeline: End May\xa02023\xa0to early Jun\xa02023At Under Armour, we are committed to providing an environment of mutual respect where equal employment opportunities are available to all applicants and teammates without regard to race, color, religion, sex, pregnancy (including childbirth, lactation and related medical conditions), national origin, age, physical and mental disability, marital status, sexual orientation, gender identity, gender expression, genetic information (including characteristics and testing), military and veteran status, and any other characteristic protected by applicable law.\xa0 Under Armour believes that diversity and inclusion among our teammates is critical to our success as a global company, and we seek to recruit, develop and retain the most talented people from a diverse candidate pool.\xa0', 'Under Armour has one mission: to make you better. We have a commitment to innovation that lies at the heart of everything we do, not just for our athletes but also for our teammates. As a global organization, our teams around the world push boundaries and think beyond what is expected. Together our teammates are unified by our values and are grounded in our vision to inspire you with performance solutions you never knew you needed but can’t imagine living without.PURPOSE OF ROLE', 'The ideal Sourcing Intern should be able to assist with various technology-related tasks. He/She should be tech-savvy, detail-oriented, eager to learn UA Sourcing processes and try to bring in tech/AI-based innovative ideas. This internship is a great opportunity for someone who is passionate about technology and wants to gain hands-on experience in a fast-paced and dynamic environment. He/She will get to work with the leadership team of all product categories – Apparel, Footwear and Accessories, Sourcing, Design and Development team members. The candidate will be part of the Sourcing team that is open to embracing new ideas, innovation and thus there is no limit to showcasing his/her abilities and in turn directly contributing to the bottom line of the organization.YOUR IMPACT']",Under Armour Asia Limited
Data Center Operator,Quarry Bay,"['Five days work', 'Windows server and UNIX Server System', 'F.7/DSE or computer-related certificate/diploma']","['Job DescriptionIT Channel is a local Solutions Integrator company founded in 2003 providing and delivering sophisticate technology solutions to multinational corporations and local enterprises. To cope with our expanding business, we are looking for high calibre professionals joining customer’s project.If you believe yourself a confident professional willing to take challenges, send us your resume.Key Responsibilities:Responsible for supporting computer operations of various server platformOperate and monitor the computers, hardwares, networks and data centre facilitiesPerform system backup and monitor daily printouts to ensure a timely delivery in accordance with the guidelineMaintain inventory of server room computer equipmentAdherence to physical access control policyWork closely with other technical specialists across IT functions and vendors\xa0Requirements:F.7/DSE\xa0or computer-related certificate/diploma is preferredExperience in\xa0working in a Data Centre for\xa0operations of computer systems and\xa0networks preferredProven capabilities in following operations procedures and guidelinesBasic knowledge of Windows server and UNIX Server systemsExperience in CLOUD operations platform will be an advantageAble to work independently and under pressureGood communication skills and customer-oriented.Interested parties, please click “Apply Now” to submit your application', 'Job Description', 'Job Description']",IT Channel (Asia) Limited
senior Data Engineer - Global Luxury Retail Brand,Without_location,"['Data Warehousing and Data Modeling', 'Data Lake/Data Lakehouse/Data Warehouse', 'Big Data Tool: Hadoop, Spark, Kafka']","[""A well reputable firm is hiring a Data Engineer for the big data project.ResponsibilitiesDevelop and maintain data pipelines to move data from source systems to data warehousesDesign and develop scalable data models and data architectures to support business needsCollaborate with cross-functional teams to understand data requirements and ensure data quality and integrityDevelop and implement data processing workflows to extract, transform, and load dataDevelop and maintain data governance policies, procedures, and standardsMonitor and troubleshoot data pipelines and data quality issuesCreate and maintain technical documentation and data dictionariesRequirementsBachelor's degree in computer science, Engineering, or related field3+ years of experience in data engineering, database design, and data integrationProficiency in SQL, Python, and/or JavaExperience with ETL tools, data warehousing, and data modelingFamiliarity with cloud platforms such as AWS, AzureExperience with data governance, data security, and data privacyStrong problem-solving and analytical skillExcellent communication and collaboration skillsEnglish communication is a must and Mandarin is highly preferredExperience with big data technologies such as Hadoop, Spark, or KafkaExperience with data visualization tools such as Tableau or PowerBI"", 'Responsibilities', 'Develop and maintain data pipelines to move data from source systems to data warehouses']",Robert Walters (HK)
Data Center / Computer Operator (Up to 28K),Causeway Bay,"['F.5 or Diploma holder or above', '2 years IT experience', 'Near MTR station, Medical benefits included']","['Job Duties:Operate and maintain data centre systemsUpdate system logs and report system faultMonitor the availability of data centre systems (network appliances, server equipment and environmental control systems)Maintain the physical security of data centreEnsure the operation of data centre complying with established procedureAdditional Requirements:F.5 or Diploma holder or aboveMin. 2 years’ IT experience in deskside support or operator roleHands on experience in data centre maintenance in a plusKnowledge in job monitoring and system backupShift duties are requiredWorking Location: Tsim Sha Tsui or North Point (choose one location)']",EIDEALINK LIMITED
Data Center Operator,Wan Chai Area,"['4+ years of Data centre operation experience', '【Salary】HK$18,000 - 23,000 / 13 months(Negotiable)', 'can accept shift']","['Job Description【Job Location】\xa0 Admiralty - Client Site【Job Duties】Responsible for the day-to-day ongoing facilities management and operation of the two Data Centres, the two NRs, the twenty-five NDRs and the communal IT facilities and perform helpdesk activities.【Job Requirement】At least 4 years of IT working experience on data centre operation;\xa0Good communication skills (oral and in writing) in both Chinese and English.【Benefits】Year-end BonusFlexible vacation: 20 daysSick Leave(Full Pay): 14 daysLife insuranceMedical insuranceDental InsuranceAnnual Health Check-upTax Efficiency PlanEmployee Assistance Program (EAP)', 'Job Description', '\xa0 Admiralty - Client Site']",DXC Technology Hong Kong Limited
Part Time Marketing Assistant (MNC),Kwun Tong,"['Able to work 3 Full days or 5 Half days per week', 'University students or housewife are welcomed', '$70-90 per hour, location: Kwun Tong']","['Our client:Our client is a global market leader in the industry. They are looking for a high caliber – Part Time Marketing Assistant to join their team.Your role:Assist in daily marketing operation and administrative tasks including but not limited to prepare marketing collaterals and clerical job.Conduct market research and compilation of reports and recaps\xa0Liaise with internal departments for marketing and promotional activitiesRequirements:Able to work 3 Full days / week or 5 Half days / weekWell-organized, detail minded with strong sense of responsibility and time management skillsTeam player, excellent interpersonal and communication skills, capable to work with all levels of peopleProficiency in PC application & Chinese word processingClick ""Apply Now"" to apply for this position or\xa0call\xa0us\xa0at\xa0+852\xa02762 4829 for a confidential discussion. All information collected will be kept in strict confidence and will be used for recruitment purposes only.\xa0', 'Our client:', 'Our client is a global market leader in the industry. They are looking for a high caliber – Part Time Marketing Assistant to join their team.']",iTalent Company
